# tungsten camera trace v1
# frame	x	y	height	yaw	pitch
0	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
10	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
20	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
30	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
40	1897.976806641	4460.843261719	237.082489014	2.928909063	-0.056700379
50	1898.152832031	4461.659179688	237.082489014	2.928909063	-0.056700379
60	1898.328491211	4462.472167969	237.074615479	2.928909063	-0.056700379
70	1898.607543945	4463.218750000	237.074325562	3.144412518	-0.056700379
80	1899.085815430	4463.899414062	237.079284668	3.453169346	-0.056700379
90	1899.464721680	4464.638671875	237.081344604	3.453169346	-0.056700379
100	1899.845214844	4465.380859375	237.082489014	3.453169346	-0.056700379
110	1900.226074219	4466.123535156	237.094314575	3.453169346	-0.056700379
120	1900.684082031	4466.815429688	237.096694946	3.206384897	-0.056700379
130	1901.314453125	4467.359375000	237.091857910	3.021163940	-0.056700379
140	1901.970581055	4467.874023438	237.090667725	3.021163940	-0.056700379
150	1902.627441406	4468.389160156	237.096603394	3.021163940	-0.056700379
160	1903.282226562	4468.901855469	237.099884033	3.021163940	-0.056700379
170	1903.938354492	4469.416503906	237.107009888	3.021163940	-0.056700379
180	1904.594116211	4469.930175781	237.115173340	3.021163940	-0.056700379
190	1905.271850586	4470.412109375	237.115890503	2.867030382	-0.056700379
200	1906.052124023	4470.689453125	237.131515503	2.559447527	-0.056700379
210	1906.882812500	4470.717285156	237.139694214	2.250657797	-0.056700379
220	1907.683471680	4470.499023438	237.153869629	2.003873348	-0.056700379
230	1908.454833984	4470.531250000	237.162719727	2.003873348	-0.056700379
240	1909.230590820	4470.831054688	237.172164917	1.818932056	-0.056700379
250	1910.054687500	4470.896484375	237.180541992	1.511858582	-0.056700379
260	1910.873168945	4470.745117188	237.192825317	1.356383085	-0.056700379
270	1911.689697266	4470.567382812	237.205062866	1.356383085	-0.056700379
280	1912.489379883	4470.337890625	237.221054077	1.171142101	-0.056700379
290	1913.186401367	4469.892578125	237.229568481	0.863862336	-0.056700379
300	1913.967529297	4469.697753906	237.244857788	0.555686772	-0.056700379
310	1914.732177734	4469.375488281	237.254089355	0.247409225	-0.056700379
320	1915.389648438	4468.863769531	237.272918701	0.093119867	-0.056700379
330	1916.031005859	4468.332031250	237.284423828	0.093119867	-0.056700379
340	1916.672241211	4467.800292969	237.294937134	0.093119867	-0.056700379
350	1917.314208984	4467.267578125	237.305206299	0.093119867	-0.056700379
360	1917.955932617	4466.735351562	237.326187134	0.093119867	-0.056700379
370	1918.599365234	4466.201660156	237.335800171	0.093119867	-0.056700379
380	1919.270507812	4465.715332031	237.345672607	0.277982384	-0.056700379
390	1920.012451172	4465.331542969	237.365951538	0.308723241	-0.056700379
400	1920.363281250	4464.620605469	237.372177124	0.308723241	-0.056700379
410	1920.700561523	4463.863769531	237.384094238	0.554019511	-0.056700379
420	1921.249633789	4463.238281250	237.393371582	0.831490040	-0.056700379
430	1921.865722656	4462.675781250	237.413116455	0.831490040	-0.056700379
440	1922.483276367	4462.116699219	237.425125122	0.862375379	-0.056700379
450	1922.849121094	4461.409179688	237.437088013	1.170408130	-0.056700379
460	1923.284912109	4460.704101562	237.444458008	1.478070855	-0.056700379
470	1923.918090820	4460.162109375	237.463851929	1.787623763	-0.056700379
480	1924.683837891	4459.838867188	237.474700928	2.096297264	-0.056700379
490	1925.505859375	4459.764160156	237.491043091	2.402832031	-0.056700379
500	1926.317260742	4459.941894531	237.501419067	2.711447477	-0.056700379
510	1927.090454102	4460.256835938	237.515426636	2.742319107	-0.056700379
520	1927.862670898	4460.571289062	237.527420044	2.742319107	-0.056700379
530	1928.632812500	4460.883789062	237.538024902	2.742319107	-0.056700379
540	1929.419433594	4461.162109375	237.546539307	2.587957144	-0.056700379
550	1930.247558594	4461.213378906	237.564514160	2.279690266	-0.056700379
560	1931.053466797	4461.010742188	237.580932617	1.971026421	-0.056700379
570	1931.756958008	4460.575683594	237.594863892	1.663846731	-0.056700379
580	1932.435668945	4460.161132812	237.611511230	1.354549170	-0.056700379
590	1933.203369141	4459.849609375	237.629348755	1.046839952	-0.056700379
600	1933.858276367	4459.338867188	237.641662598	0.862151563	-0.056700379
610	1934.491333008	4458.796875000	237.662353516	0.862151563	-0.056700379
620	1935.205566406	4458.497558594	237.677551270	0.862151563	-0.056700379
630	1935.879150391	4458.075195312	237.694137573	0.862151563	-0.056700379
640	1936.511230469	4457.533203125	237.711990356	0.862151563	-0.056700379
650	1937.183593750	4457.113281250	237.728012085	0.862151563	-0.056700379
660	1937.973388672	4457.056640625	237.744155884	0.862151563	-0.056700379
670	1938.607666016	4456.512695312	237.764022827	0.862151563	-0.056700379
680	1939.240966797	4455.969726562	237.784942627	0.862151563	-0.056700379
690	1939.933227539	4455.516601562	237.799362183	1.077201724	-0.056700379
700	1940.666870117	4455.121093750	237.817886353	1.077201724	-0.056700379
710	1941.183471680	4454.843261719	237.833419800	1.077201724	-0.056700379
720	1941.183471680	4454.843261719	237.833419800	1.077201724	-0.056700379
730	1941.183471680	4454.843261719	237.833419800	1.077201724	-0.056700379
740	1941.183471680	4454.843261719	244.497619629	1.077201724	-0.056700379
750	1941.183471680	4454.843261719	244.497619629	1.077201724	-0.056700379
760	1958.981811523	4445.267089844	244.497619629	1.077201724	-0.056700379
770	1978.778320312	4434.616699219	244.497619629	1.077201724	-0.056700379
780	1998.677978516	4423.911621094	244.497619629	1.077201724	-0.056700379
790	2018.425659180	4413.288085938	244.497619629	1.077201724	-0.056700379
800	2038.306518555	4402.592285156	244.497619629	1.077201724	0.011293495
810	2058.094726562	4391.945312500	244.497619629	1.077201724	0.056355029
820	2077.858886719	4381.311523438	251.142288208	1.077201724	0.056355029
830	2099.693603516	4369.564941406	251.142288208	1.077201724	0.056355029
840	2121.449951172	4357.858886719	251.142288208	1.077201724	-0.032889389
850	2141.323242188	4347.166015625	251.142288208	1.077201724	-0.032889389
860	2161.146728516	4336.501464844	251.142288208	1.077201724	-0.032889389
870	2180.923095703	4325.861328125	251.142288208	1.077201724	-0.032889389
880	2202.702636719	4314.143554688	251.142288208	1.077201724	-0.032889389
890	2227.145019531	4302.729980469	251.142288208	1.262731433	-0.032889389
900	2242.300048828	4283.390625000	251.142288208	1.601047754	-0.032889389
910	2265.192626953	4269.365722656	251.142288208	1.971039653	-0.032889389
920	2288.661132812	4261.421875000	251.142288208	2.032592773	-0.032889389
930	2295.659667969	4247.360351562	251.142288208	2.032592773	-0.032889389
940	2295.659667969	4247.360351562	251.142288208	2.248648882	-0.032889389
950	2295.659667969	4247.360351562	251.142288208	2.618034124	-0.032889389
960	2295.659667969	4247.360351562	251.142288208	2.957300663	-0.032889389
970	2322.254882812	4242.403320312	251.142288208	2.957300663	-0.032889389
980	2348.740478516	4237.466308594	251.142288208	2.957300663	-0.032889389
990	2373.117431641	4233.338378906	251.142288208	3.049005508	-0.032889389
1000	2379.861816406	4233.129882812	251.142288208	3.419537067	-0.032889389
1010	2379.861816406	4233.129882812	251.142288208	3.450151682	-0.032889389
1020	2379.861816406	4233.129882812	251.142288208	3.542425394	-0.032889389
1030	2379.861816406	4233.129882812	251.142288208	3.727483511	-0.032889389
1040	2379.861816406	4233.129882812	251.142288208	3.419029236	-0.032889389
1050	2379.861816406	4233.129882812	251.142288208	3.048953056	-0.032889389
1060	2379.861816406	4233.129882812	251.142288208	2.679355383	-0.032889389
1070	2379.861816406	4233.129882812	251.142288208	2.339198351	-0.032889389
1080	2399.219482422	4244.514648438	251.142288208	1.969552517	-0.032889389
1090	2420.187988281	4236.275878906	251.142288208	1.630260348	-0.032889389
1100	2443.099609375	4224.581542969	251.142288208	1.260952473	-0.032889389
1110	2464.755615234	4212.813476562	251.142288208	0.921570480	-0.032889389
1120	2482.387451172	4192.543457031	251.142288208	0.551345050	-0.032889389
1130	2503.927246094	4182.691406250	251.142288208	0.489474893	-0.032889389
1140	2529.752685547	4174.818359375	251.142288208	0.489474893	-0.032889389
1150	2553.446289062	4167.595214844	251.142288208	0.489474893	-0.032889389
1160	2568.324951172	4146.408203125	251.142288208	0.489474893	-0.032889389
1170	2583.572753906	4127.107910156	251.142288208	0.766697347	-0.032889389
1180	2602.332519531	4107.633300781	251.142288208	0.766697347	-0.032889389
1190	2619.613769531	4089.693115234	251.142288208	0.766697347	-0.032889389
1200	2636.680419922	4071.975830078	251.142288208	0.766697347	-0.032889389
1210	2657.001953125	4054.444580078	251.142288208	0.981859386	-0.032889389
1220	2677.610595703	4040.677001953	251.142288208	0.981859386	-0.032889389
1230	2698.196777344	4026.925292969	251.142288208	0.981859386	-0.032889389
1240	2718.870117188	4013.114501953	251.142288208	0.981859386	-0.032889389
1250	2739.350830078	3999.433349609	251.142288208	0.981859386	-0.032889389
1260	2757.615722656	3986.408935547	251.142288208	0.859238505	-0.032889389
1270	2775.884521484	3969.645751953	251.142288208	0.828356802	0.034658864
1280	2794.140625000	3952.894531250	251.142288208	0.828356802	0.079820044
1290	2812.363525391	3936.173339844	251.142288208	0.828356802	0.079820044
1300	2830.751464844	3919.582031250	251.142288208	0.889887691	0.079820044
1310	2849.592529297	3907.337890625	251.142288208	1.012914658	0.079820044
1320	2868.687744141	3895.422607422	251.142288208	1.012914658	0.057368483
1330	2882.271972656	3886.945800781	253.173400879	1.012914658	-0.032638207
1340	2882.978759766	3886.504882812	253.170227051	1.012914658	-0.032638207
1350	2883.685302734	3886.064208984	253.200073242	1.012914658	-0.032638207
1360	2884.392822266	3885.622558594	253.257934570	1.012914658	-0.032638207
1370	2885.099365234	3885.181152344	253.348266602	1.012914658	-0.032638207
1380	2885.807861328	3884.738769531	253.487808228	1.012914658	-0.032638207
1390	2892.029296875	3880.856445312	253.540588379	1.012914658	-0.032638207
1400	2911.099121094	3868.956787109	253.540588379	1.012914658	-0.032638207
1410	2930.204101562	3857.035156250	265.545318604	1.012914658	-0.032638207
1420	2939.751953125	3851.077148438	269.552368164	1.012914658	-0.032638207
