# tungsten camera trace v1
# frame	x	y	height	yaw	pitch
0	2426.164794922	3151.065917969	433.312347412	0.988003194	-0.077600524
10	2426.164794922	3151.065917969	433.312347412	0.988003194	-0.077600524
20	2426.164794922	3151.065917969	433.312347412	0.988003194	-0.077600524
30	2426.164794922	3151.065917969	433.312347412	0.988003194	-0.077600524
40	2426.397216797	3150.912353516	432.797790527	0.988003194	-0.077600524
50	2426.861816406	3150.604736328	432.032867432	0.988003194	-0.077600524
60	2427.325683594	3150.297363281	431.185058594	0.988003194	-0.077600524
70	2427.789550781	3149.989746094	430.480224609	0.988003194	-0.077600524
80	2428.253906250	3149.682373047	429.938781738	0.988003194	-0.077600524
90	2428.718017578	3149.375000000	429.277648926	0.988003194	-0.077600524
100	2429.182373047	3149.067626953	428.647918701	0.988003194	-0.077600524
110	2429.646972656	3148.760253906	428.032440186	0.988003194	-0.077600524
120	2430.111083984	3148.452880859	427.435821533	0.988003194	-0.077600524
130	2430.574951172	3148.145507812	426.726959229	0.988003194	-0.077600524
140	2431.039306641	3147.838378906	425.956298828	0.988003194	-0.077600524
150	2431.504638672	3147.530761719	425.210479736	0.988003194	-0.077600524
160	2431.969238281	3147.223632812	424.709350586	0.988003194	-0.077600524
170	2432.435058594	3146.916015625	424.419738770	0.988003194	-0.077600524
180	2432.899414062	3146.608398438	424.193145752	0.988003194	-0.077600524
190	2433.364990234	3146.300781250	424.012298584	0.988003194	-0.077600524
200	2433.830322266	3145.993164062	423.864074707	0.988003194	-0.077600524
210	2434.295898438	3145.685546875	423.744964600	0.988003194	-0.077600524
220	2434.760498047	3145.377929688	423.641784668	0.988003194	-0.077600524
230	2435.225585938	3145.071533203	423.550415039	0.988003194	-0.077600524
240	2435.690429688	3144.764160156	423.469665527	0.988003194	-0.077600524
250	2436.155517578	3144.457031250	423.402038574	0.988003194	-0.077600524
260	2436.620605469	3144.149902344	423.341613770	0.988003194	-0.077600524
270	2437.085449219	3143.842285156	423.289642334	0.988003194	-0.077600524
280	2437.549316406	3143.535156250	423.244232178	0.988003194	-0.077600524
290	2438.013916016	3143.227783203	423.209991455	0.988003194	-0.077600524
300	2438.479003906	3142.920166016	423.176055908	0.988003194	-0.077600524
310	2438.944091797	3142.612548828	423.156799316	0.988003194	-0.077600524
320	2439.408691406	3142.305175781	423.135040283	0.988003194	-0.077600524
330	2439.873046875	3141.997558594	423.117767334	0.988003194	-0.077600524
340	2440.337402344	3141.690185547	423.106842041	0.988003194	-0.077600524
350	2440.801757812	3141.383056641	423.095855713	0.988003194	-0.077600524
360	2441.266113281	3141.076171875	423.089111328	0.988003194	-0.077600524
370	2441.731445312	3140.769287109	423.085357666	0.988003194	-0.077600524
380	2442.195800781	3140.462646484	423.082397461	0.988003194	-0.077600524
390	2442.661621094	3140.155029297	423.084655762	0.988003194	-0.077600524
400	2443.126953125	3139.847900391	423.085205078	0.988003194	-0.077600524
410	2443.592041016	3139.540527344	423.086853027	0.988003194	-0.077600524
420	2444.057617188	3139.232910156	423.088653564	0.988003194	-0.077600524
430	2444.522216797	3138.925781250	423.090118408	0.988003194	-0.077600524
440	2444.987304688	3138.618408203	423.099273682	0.988003194	-0.075200520
450	2445.452636719	3138.311035156	423.100646973	0.988003194	-0.060800511
460	2445.917480469	3138.003906250	423.109252930	0.988003194	-0.053600512
470	2446.382080078	3137.696533203	423.111053467	0.988003194	-0.053600512
480	2446.847412109	3137.389404297	423.113067627	0.988003194	-0.051200513
490	2447.312011719	3137.082031250	423.116088867	0.988003194	-0.046400513
500	2447.777343750	3136.775146484	423.119018555	0.988003194	-0.041600514
510	2448.241943359	3136.467773438	423.121887207	0.988003194	-0.034400515
520	2448.706787109	3136.160888672	423.125610352	0.990403175	-0.027200516
530	2449.173095703	3135.855712891	423.125793457	0.990403175	-0.024800517
540	2449.639404297	3135.550537109	423.123504639	0.992803156	-0.017600518
550	2450.105224609	3135.245605469	423.121520996	0.992803156	-0.015200518
560	2450.571777344	3134.940429688	423.119323730	0.992803156	-0.010400519
570	2451.038818359	3134.636474609	423.115142822	0.995203137	-0.005600519
580	2451.505859375	3134.333251953	423.106811523	0.995203137	0.001599481
590	2451.974609375	3134.030517578	423.103027344	0.997603118	0.008799482
600	2452.443115234	3133.728027344	423.092895508	0.997603118	0.013599481
610	2452.912109375	3133.425292969	423.081817627	0.997603118	0.015999481
620	2453.381103516	3133.122558594	423.070770264	0.997603118	0.020799480
630	2453.850097656	3132.820068359	423.056640625	0.997603118	0.025599480
640	2454.318603516	3132.517578125	423.045898438	0.997603118	0.027999479
650	2454.786376953	3132.214111328	423.033386230	0.995203137	0.037599478
660	2455.253662109	3131.910644531	423.018005371	0.992803156	0.044799477
670	2455.720214844	3131.605468750	423.004119873	0.992803156	0.056799475
680	2456.187255859	3131.300292969	422.988433838	0.992803156	0.063999474
690	2456.654296875	3130.995117188	422.973846436	0.992803156	0.063999474
700	2457.121337891	3130.689941406	422.956085205	0.992803156	0.068799481
710	2457.588378906	3130.384765625	422.943664551	0.992803156	0.075999491
720	2458.054931641	3130.079589844	422.925109863	0.992803156	0.078399494
730	2458.521972656	3129.774169922	422.911987305	0.992803156	0.085599504
740	2458.988769531	3129.468994141	422.899261475	0.992803156	0.090399511
750	2459.455810547	3129.163574219	422.887237549	0.992803156	0.092799515
760	2459.923339844	3128.858642578	422.873138428	0.992803156	0.097599521
770	2460.389892578	3128.553710938	422.862457275	0.992803156	0.097599521
780	2460.856445312	3128.248535156	422.853118896	0.992803156	0.097599521
790	2461.322753906	3127.943603516	422.849029541	0.992803156	0.097599521
800	2461.789306641	3127.638427734	422.843872070	0.992803156	0.109599538
810	2462.256591797	3127.334716797	422.839660645	0.995203137	0.119199552
820	2462.723632812	3127.031982422	422.838226318	0.995203137	0.126399562
830	2463.190917969	3126.729248047	422.842987061	0.995203137	0.131199554
840	2463.657714844	3126.426513672	422.848144531	0.995203137	0.131199554
850	2464.124511719	3126.123779297	422.853302002	0.995203137	0.131199554
860	2464.591064453	3125.820800781	422.862945557	0.995203137	0.135999545
870	2465.057861328	3125.518066406	422.880645752	0.995203137	0.135999545
880	2465.525390625	3125.215332031	422.893859863	0.995203137	0.140799537
890	2465.993652344	3124.912841797	422.914184570	0.997603118	0.150399521
900	2466.462646484	3124.610107422	422.932525635	0.997603118	0.155199513
910	2466.931152344	3124.307617188	422.957427979	0.997603118	0.157599509
920	2467.399902344	3124.004882812	422.988952637	0.997603118	0.157599509
930	2467.868408203	3123.702148438	423.019317627	0.997603118	0.157599509
940	2468.337158203	3123.399414062	423.050079346	0.997603118	0.157599509
950	2468.805908203	3123.096679688	423.085601807	0.997603118	0.157599509
960	2469.274414062	3122.794189453	423.123199463	0.997603118	0.157599509
970	2469.742919922	3122.491699219	423.160888672	0.997603118	0.157599509
980	2470.211669922	3122.188964844	423.204895020	0.997603118	0.157599509
990	2470.680419922	3121.886230469	423.248474121	0.997603118	0.157599509
1000	2471.148925781	3121.583740234	423.292175293	0.997603118	0.157599509
1010	2471.617675781	3121.281005859	423.341461182	0.997603118	0.157599509
1020	2472.086181641	3120.978515625	423.391693115	0.997603118	0.157599509
1030	2472.554931641	3120.675781250	423.441955566	0.997603118	0.157599509
1040	2473.023681641	3120.373046875	423.494293213	0.997603118	0.157599509
1050	2473.491943359	3120.070556641	423.549499512	0.997603118	0.157599509
1060	2473.960693359	3119.767822266	423.604400635	0.997603118	0.157599509
1070	2474.429199219	3119.465332031	423.659790039	0.997603118	0.157599509
1080	2474.897705078	3119.162841797	423.715026855	0.997603118	0.157599509
1090	2475.366455078	3118.860107422	423.770263672	0.997603118	0.157599509
1100	2475.834960938	3118.557617188	423.825408936	0.997603118	0.157599509
1110	2476.303710938	3118.254882812	423.884643555	0.997603118	0.157599509
1120	2476.771972656	3117.952392578	423.944763184	0.997603118	0.157599509
1130	2477.240966797	3117.649414062	424.005004883	0.997603118	0.157599509
1140	2477.709716797	3117.346679688	424.065155029	0.997603118	0.157599509
1150	2478.178222656	3117.044189453	424.125000000	0.997603118	0.157599509
1160	2478.647216797	3116.741455078	424.182983398	0.997603118	0.157599509
1170	2479.115966797	3116.438720703	424.238159180	0.997603118	0.157599509
1180	2479.584960938	3116.135986328	424.297515869	0.997603118	0.157599509
1190	2480.053222656	3115.833740234	424.359985352	0.997603118	0.157599509
1200	2480.521972656	3115.531005859	424.417694092	0.997603118	0.157599509
1210	2480.990478516	3115.228515625	424.477905273	0.997603118	0.157599509
1220	2481.458984375	3114.926025391	424.538024902	0.997603118	0.157599509
1230	2481.927734375	3114.623291016	424.596405029	0.997603118	0.157599509
1240	2482.396484375	3114.320556641	424.654113770	0.997603118	0.157599509
1250	2482.865478516	3114.017822266	424.712158203	0.997603118	0.157599509
1260	2483.334472656	3113.715087891	424.768035889	0.997603118	0.157599509
1270	2483.803222656	3113.412353516	424.825592041	0.997603118	0.157599509
1280	2484.271728516	3113.109863281	424.878051758	0.997603118	0.157599509
1290	2484.740722656	3112.807128906	424.933685303	0.997603118	0.157599509
1300	2485.209472656	3112.504638672	424.991027832	0.997603118	0.157599509
1310	2485.677978516	3112.202148438	425.042388916	0.997603118	0.157599509
1320	2486.146728516	3111.899414062	425.097229004	0.997603118	0.157599509
1330	2486.615478516	3111.596679688	425.148193359	0.997603118	0.157599509
