# tungsten camera trace v1
# frame	x	y	height	yaw	pitch
0	2046.816162109	4314.930175781	244.931289673	-5.912001133	0.006400054
10	2046.816162109	4314.930175781	244.931289673	-5.912001133	0.006400054
20	2046.816162109	4314.930175781	244.931289673	-5.912001133	0.006400054
30	2046.816162109	4314.930175781	244.931289673	-5.912001133	0.006400054
40	2046.816162109	4314.930175781	244.931289673	-5.912001133	0.006400054
50	2046.816162109	4314.930175781	244.931289673	-5.912001133	0.006400054
60	2046.842529297	4314.862304688	244.934371948	-5.912001133	0.006400054
70	2046.978271484	4314.513183594	244.950210571	-5.912001133	0.006400054
80	2047.111938477	4314.169921875	244.946548462	-5.912001133	0.006400054
90	2047.246093750	4313.824707031	244.948654175	-5.912001133	0.006400054
100	2047.379638672	4313.481933594	244.950912476	-5.912001133	0.006400054
110	2047.512207031	4313.141601562	244.939331055	-5.912001133	0.006400054
120	2047.645751953	4312.799316406	244.941513062	-5.912001133	0.006400054
130	2047.777954102	4312.459472656	244.951187134	-5.912001133	0.006400054
140	2047.911376953	4312.117187500	244.956390381	-5.912001133	0.006400054
150	2048.126464844	4311.564453125	244.948013306	-5.912001133	0.006400054
160	2048.261718750	4311.215820312	244.938369751	-5.912001133	0.006400054
170	2048.394775391	4310.874511719	244.935012817	-5.912001133	0.006400054
180	2048.528564453	4310.531738281	244.935012817	-5.912001133	0.006400054
190	2048.663085938	4310.186523438	244.935012817	-5.912001133	0.006400054
200	2048.798583984	4309.838867188	244.935012817	-5.912001133	0.006400054
210	2048.932128906	4309.496582031	244.934967041	-5.912001133	0.006400054
220	2049.065673828	4309.153808594	244.929367065	-5.912001133	0.006400054
230	2049.198242188	4308.812988281	244.925628662	-5.912001133	0.006400054
240	2049.238037109	4308.710937500	244.924606323	-5.912001133	0.006400054
250	2049.238037109	4308.710937500	244.924606323	-5.912001133	0.006400054
260	2049.105712891	4309.051757812	244.927688599	-5.912001133	0.006400054
270	2048.972412109	4309.394042969	244.933380127	-5.912001133	0.006400054
280	2048.839355469	4309.735351562	244.935012817	-5.912001133	0.006400054
290	2048.705566406	4310.077636719	244.935012817	-5.912001133	0.006400054
300	2048.573242188	4310.417480469	244.935012817	-5.912001133	0.006400054
310	2048.440673828	4310.758789062	244.935012817	-5.912001133	0.006400054
320	2048.306152344	4311.104492188	244.936340332	-5.912001133	0.006400054
330	2048.171875000	4311.449218750	244.944656372	-5.912001133	0.006400054
340	2048.037841797	4311.793945312	244.954559326	-5.912001133	0.006400054
350	2047.821166992	4312.350097656	244.952178955	-5.912001133	0.006400054
360	2047.687622070	4312.692871094	244.945129395	-5.912001133	0.006400054
370	2047.554443359	4313.034667969	244.935134888	-5.912001133	0.006400054
380	2047.421875000	4313.375488281	244.947921753	-5.912001133	0.006400054
390	2047.288452148	4313.719238281	244.949844360	-5.912001133	0.006400054
400	2047.156127930	4314.060546875	244.946105957	-5.912001133	0.006400054
410	2047.022827148	4314.403320312	244.949554443	-5.912001133	0.006400054
420	2046.889770508	4314.745117188	244.939743042	-5.912001133	0.006400054
430	2046.755126953	4315.090820312	244.923248291	-5.912001133	0.006400054
440	2046.621337891	4315.434082031	244.910385132	-5.912001133	0.006400054
450	2046.488891602	4315.774414062	244.910583496	-5.912001133	0.006400054
460	2046.397094727	4316.011230469	244.910354614	-5.912001133	0.006400054
470	2046.397094727	4316.011230469	244.910354614	-5.912001133	0.006400054
480	2046.397094727	4316.011230469	244.910354614	-5.912001133	0.006400054
490	2046.463378906	4315.840820312	244.910690308	-5.912001133	0.006400054
500	2046.595581055	4315.500488281	244.908950806	-5.912001133	0.006400054
510	2046.728149414	4315.159667969	244.919952393	-5.912001133	0.006400054
520	2046.860473633	4314.820312500	244.936325073	-5.912001133	0.006400054
530	2046.993164062	4314.479492188	244.950805664	-5.912001133	0.006400054
540	2047.125000000	4314.141113281	244.946380615	-5.912001133	0.006400054
550	2047.257568359	4313.799804688	244.948989868	-5.912001133	0.006400054
560	2047.390136719	4313.458984375	244.950302124	-5.912001133	0.006400054
570	2047.524169922	4313.114257812	244.938171387	-5.912001133	0.006400054
580	2047.657592773	4312.770507812	244.942504883	-5.912001133	0.006400054
590	2047.790405273	4312.429199219	244.951385498	-5.912001133	0.006400054
