# tungsten camera trace v1
# frame	x	y	height	yaw	pitch
0	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
10	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
20	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
30	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
40	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
50	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
60	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
70	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
80	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
90	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
100	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
110	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
120	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
130	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
140	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
150	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
160	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
170	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
180	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
190	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
200	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
210	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
220	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
230	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
240	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
250	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
260	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
270	1897.871337891	4460.355468750	237.084777832	2.928909063	-0.056700379
