# tungsten camera trace v1
# frame	x	y	height	yaw	pitch
0	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
10	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
20	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
30	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
40	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
50	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
60	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
70	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
80	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
90	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
100	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
110	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
120	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
130	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
140	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
150	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
160	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
170	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
180	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
190	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
200	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
210	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
220	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
230	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
240	1889.592041016	4448.388671875	250.000000000	-5.290399551	-0.010399975
250	1889.592041016	4448.388671875	250.455413818	-5.290399551	-0.010399975
260	1889.592041016	4448.388671875	254.977005005	-5.290399551	-0.010399975
270	1889.592041016	4448.388671875	259.618499756	-5.290399551	-0.010399975
280	1889.592041016	4448.388671875	264.470367432	-5.290399551	-0.010399975
290	1890.287353516	4447.935058594	268.894989014	-5.290399551	-0.010399975
300	1897.382690430	4443.306640625	268.894989014	-5.290399551	-0.010399975
310	1904.413940430	4438.720214844	268.894989014	-5.290399551	-0.010399975
320	1911.424926758	4434.146484375	268.894989014	-5.290399551	-0.010399975
330	1918.424438477	4429.580566406	268.894989014	-5.290399551	-0.010399975
340	1925.406127930	4425.026367188	268.894989014	-5.290399551	-0.010399975
350	1932.368041992	4420.485351562	268.894989014	-5.290399551	-0.010399975
360	1939.354370117	4415.928710938	268.894989014	-5.290399551	-0.010399975
370	1946.352416992	4411.362792969	268.894989014	-5.290399551	-0.010399975
380	1953.321411133	4406.816894531	268.894989014	-5.290399551	-0.010399975
390	1960.291748047	4402.270019531	268.894989014	-5.290399551	-0.010399975
400	1967.254272461	4397.728027344	268.894989014	-5.290399551	-0.010399975
410	1974.210815430	4393.190429688	268.894989014	-5.290399551	-0.010399975
420	1981.158813477	4388.658203125	268.894989014	-5.290399551	-0.010399975
430	1988.117431641	4384.118652344	268.894989014	-5.290399551	-0.010399975
440	1995.193603516	4379.502929688	268.894989014	-5.290399551	-0.010399975
450	2001.137451172	4374.234863281	268.894989014	-5.290399551	-0.010399975
460	2002.873168945	4366.024902344	268.894989014	-5.283199787	-0.010399975
470	2005.027832031	4357.939941406	268.894989014	-5.187200069	-0.007999975
480	2008.226440430	4350.259765625	268.894989014	-5.028800488	-0.010399975
490	2012.660278320	4343.155761719	268.894989014	-4.870400906	-0.015199974
500	2018.130493164	4336.799804688	268.894989014	-4.716801167	-0.015199974
510	2024.467895508	4331.290039062	268.894989014	-4.589600563	-0.017599974
520	2031.331542969	4326.500976562	268.894989014	-4.488800049	-0.022399973
530	2038.641601562	4322.498535156	268.894989014	-4.375998974	-0.027199972
540	2046.294311523	4319.341796875	268.894989014	-4.275197983	-0.031999972
550	2054.153076172	4316.873046875	268.894989014	-4.198399544	-0.034399971
560	2062.175048828	4314.995117188	268.894989014	-4.126401424	-0.034399971
570	2070.298339844	4313.750976562	268.894989014	-4.040001392	-0.031999972
580	2077.187011719	4310.362304688	268.894989014	-3.948801756	-0.029599972
590	2083.261230469	4304.791503906	268.894989014	-3.831201315	-0.027199972
600	2090.170410156	4299.935058594	268.894989014	-3.670401096	-0.024799973
610	2097.779785156	4296.288574219	268.894989014	-3.531200886	-0.024799973
620	2105.752685547	4293.543457031	268.894989014	-3.428001165	-0.027199972
630	2113.302001953	4295.853027344	268.894989014	-3.382401228	-0.027199972
640	2120.446044922	4300.216796875	268.894989014	-3.377601385	-0.027199972
650	2127.554443359	4304.567871094	268.894989014	-3.377601385	-0.027199972
660	2134.897216797	4307.674316406	268.894989014	-3.377601385	-0.027199972
670	2143.026855469	4305.719238281	268.894989014	-3.377601385	-0.027199972
680	2151.133300781	4303.769531250	268.894989014	-3.377601385	-0.027199972
690	2159.242187500	4301.819824219	268.894989014	-3.377601385	-0.027199972
700	2166.463623047	4305.532714844	268.894989014	-3.377601385	-0.027199972
710	2173.569824219	4309.883789062	268.894989014	-3.377601385	-0.027199972
720	2180.693603516	4314.246093750	268.894989014	-3.377601385	-0.027199972
730	2187.810791016	4318.604003906	268.894989014	-3.377601385	-0.027199972
740	2194.947753906	4322.974121094	268.894989014	-3.377601385	-0.027199972
750	2202.080078125	4327.341308594	268.894989014	-3.377601385	-0.027199972
760	2209.291503906	4331.757324219	268.894989014	-3.377601385	-0.027199972
770	2216.571044922	4336.077636719	268.894989014	-3.411201239	-0.031999972
