# tungsten camera trace v1
# frame	x	y	height	yaw	pitch
0	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
10	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
20	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
30	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
40	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
50	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
60	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
70	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
80	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
90	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
100	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
110	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
120	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
130	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
140	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
150	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
160	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
170	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
180	2974.662597656	3142.033447266	375.220642090	-1.450438023	-0.080523327
190	2974.662597656	3142.033447266	375.220642090	-1.533228755	-0.080523327
200	2974.662597656	3142.033447266	375.220642090	-1.619362593	-0.080523327
210	2974.662597656	3142.033447266	375.220642090	-1.619362593	-0.080523327
220	2974.662597656	3142.033447266	375.220642090	-1.619362593	-0.080523327
230	2974.662597656	3142.033447266	375.220642090	-1.619362593	-0.080523327
240	2974.662597656	3142.033447266	375.220642090	-1.619362593	-0.080523327
250	2974.662597656	3142.033447266	375.220642090	-1.619362593	-0.080523327
260	2974.662597656	3142.033447266	375.220642090	-1.619362593	-0.080523327
270	2974.662597656	3142.033447266	375.220642090	-1.571929336	-0.080523327
280	2974.662597656	3142.033447266	375.220642090	-1.426258326	-0.080523327
290	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
300	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
310	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
320	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
330	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
340	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
350	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
360	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
370	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
380	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
390	2974.662597656	3142.033447266	375.220642090	-1.346379995	-0.080523327
400	2974.662597656	3142.033447266	375.220642090	-1.372387171	-0.080523327
410	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
420	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
430	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
440	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
450	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
460	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
470	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
480	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
490	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
500	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
510	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
520	2974.662597656	3142.033447266	375.220642090	-1.463537693	-0.080523327
